cod_ibge,latitude,longitude,altitude,dist_cap_uf,dist_cap_fed,area_1920,area_1940,area_1950,area_1960,area_1970,area_1980,area_1985,area_1991,area_1995,area_1998,area_2000,area_2010,temp_media,temp_var,chuva_media,chuva_var
3503208,-21.7944444444,48.1755555556,664,250.4404622219,666.2812847079,2417,2041,1819,1687,1541,1541,1541,1483,1253,1008.6,1006,1004.1,21.525,4.6333333333999995,125.60833333330001,200.95
3503307,-22.3569444444,47.3841666667,629,152.5462878059,730.3238131633,613,552,579,581,581,581,581,645.1,645,645.1,643.4,644.8,20.4,5.3666666666000005,124.8875,195.17499999999998
3503356,-21.7725,50.465,419,439.8997085198,715.181299311,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.6,261.9,264.7,NA,NA,NA,NA
3503406,-22.0286111111,48.9111111111,445,287.8670751705,699.3909657822,NA,NA,476,477,477,477,477,507.8,507,507.8,506.4,505,22.275,5.1166666666000005,112.44166666665,167.3833333333
3503505,-22.5797222222,44.6969444444,519,225.7833553309,825.9710080852,154,334,315,316,316,316,316,307.3,307,307.3,306.6,305.2,17.90833333335,5.983333333299999,142.15833333335,227.81666666669997
3503604,-22.6680555556,48.665,635,229.5378593683,766.4241434264,NA,NA,NA,89,89,89,89,86.1,86,86.1,85.9,85.8,21.333333333349998,5.266666666700001,121.88333333335,170.2333333333
3503703,-21.1877777778,48.7869444444,595,342.5765622102,605.4129480503,282,140,221,222,131,131,131,133.5,133,133.5,133.1,133.2,22.28333333335,4.4333333332999985,120.58333333335,202.1666666667
3503802,-22.5730555556,47.1725,588,121.1101394155,756.2003876031,NA,NA,352,340,340,340,340,288.3,178,178.2,177.8,178,19.916666666650002,5.633333333299998,123.56666666665001,187.4666666667
3503901,-23.3961111111,46.3208333333,775,36.3135004608,859.873676327,NA,NA,NA,82,82,82,82,97.7,97,97.7,97.4,96.4,19.166666666700003,5.800000000000001,150.51666666665,191.36666666669998
3503950,-20.1588888889,50.7272222222,403,565.369038959,568.1027906942,NA,NA,NA,NA,NA,NA,NA,NA,69,69.6,69.4,69.3,23.583333333349998,4.433333333300002,117.8,181.5333333334
3504008,-22.6616666667,50.4122222222,546,399.0991068487,805.2933472933,3353,1083,1008,687,780,780,780,767.1,462,462.8,461.7,460.3,21.45,5.833333333399999,112.56666666665001,135.86666666669998
3504107,-23.1169444444,46.5502777778,803,48.4856123778,825.0408965847,790,642,490,491,491,491,491,479.3,479,479.3,478.1,478.4,19.03333333335,5.733333333299999,126.46666666664999,180.3333333333
3504206,-20.6855555556,50.5547222222,482,513.7282160674,609.8660899896,NA,NA,NA,838,385,385,385,434.1,434,434.1,432.9,434,23.833333333299997,4.800000000000001,110.85833333335,168.98333333329998
3504305,-22.1466666667,49.3330555556,481,317.3255306313,720.10885524,947,496,531,533,533,533,533,543.6,543,543.6,542.2,540.5,22.049999999999997,5.266666666599999,113.8,162.66666666659998
3504404,-21.4608333333,49.9497222222,428,411.8871119117,663.9889440416,NA,565,530,324,324,324,324,341.3,341,341.3,340.3,338.6,23.01666666665,5.0333333333,111.64999999999999,167.7666666666
3504503,-23.0986111111,48.9258333333,766,239.4140356821,816.9197548409,1470,1279,1468,1472,1205,1205,1205,1219.6,1219,1219.6,1216.6,1213.1,20.5000016667,5.466670000000001,121.22221833335001,148.1777633333
3504602,-20.9180555556,49.4452777778,510,410.681388668,590.8714931087,NA,NA,NA,110,110,110,110,109.9,109,109.9,109.6,108.5,23.31666666665,4.5666666667000015,114.66666666665,185.3333333333
3504701,-21.8997222222,49.3566666667,460,333.7896090811,693.9277799723,NA,NA,NA,75,75,75,75,91.1,91,91.1,90.9,91.6,22.48333333335,5.166666666700003,112.51666666665,165.1666666667
3504800,-20.7352777778,49.5836111111,545,435.2437380939,575.7175530533,NA,NA,NA,183,124,124,124,150.8,150,150.8,150.4,150.6,23.4,4.466666666600002,116.31666666665,189.4333333333
3504909,-22.6836111111,44.3233333333,454,255.5077692006,853.1463830153,577,735,764,766,766,766,766,773.9,620,620.2,618.7,616,19.044445,5.844450000000002,134.522215,211.17776999999998
3505005,-23.6269444444,49.5613888889,559,298.7359268168,885.3904204777,NA,NA,NA,NA,127,127,127,155.2,155,155.2,154.9,153.1,20.166666666650002,6.266666666700001,109.48333333335,107.2333333333
3505104,-21.2666666667,49.9491666667,386,424.4665409509,643.6861632822,NA,NA,NA,243,243,243,243,205.7,205,205.7,205.1,205.2,23.26666666665,4.9333333332999985,107.66666666665,162.13333333330002
3505203,-22.0744444444,48.7402777778,447,270.706198876,701.9932542637,701,692,626,443,437,437,437,441.7,441,441.7,440.6,444.1,22.23333333335,5.0666666667000015,113.93333333334999,176.13333333330002
3505302,-22.4947222222,48.5580555556,457,228.9332579399,746.2535680404,229,251,243,139,139,139,139,150.6,150,150.6,150.2,149.9,21.4166666667,5.100000000000001,121.98333333335,176.56666666669997
3505351,-24.4730555556,49.0244444444,784,263.7464246137,969.2022434425,NA,NA,NA,NA,NA,NA,NA,NA,408,408.1,407.2,405.7,17.9,6.466666666600002,126.69999999999999,114.4666666666
3505401,-24.7563888889,48.5047222222,158,232.3749220025,995.6154843944,NA,NA,NA,NA,978,978,978,1007.3,1007,1007.3,1005.2,1007.8,18.525,6.6833333333999985,150.5375,136.80833333340001
3505500,-20.5572222222,48.5677777778,530,386.5272461494,533.0849258196,2393,2352,2223,1527,1527,1527,1527,1568,1568,1568,1563.6,1565.6,23.0375,4.2416666666000005,122.15416666665,209.3916666667
3505609,-21.1936111111,48.1638888889,505,304.4762970246,599.7609364027,NA,NA,NA,141,141,141,141,147,147,147,146.6,145.6,22.0166666667,4.5,129.3,218.6
3505708,-23.5105555556,46.8761111111,719,24.8486934446,862.9209048816,NA,NA,70,70,64,64,64,64.3,64,64.3,64.2,66.1,19.549999999999997,5.6333333333999995,124.85,172.96666666660002
3505807,-21.9219444444,50.7338888889,445,457.8252793498,741.3468814609,NA,NA,236,237,169,169,169,170.9,170,170.9,170.4,171.9,22.55,5.5666666666,113.3166666667,146.89999999999998
3505906,-20.8911111111,47.585,862,309.99928897,566.931049859,686,839,834,836,836,836,836,854.8,854,853.1,850.7,849.5,21.1944433333,4.100000000000001,137.29445,239.05556666660001
3506003,-22.3147222222,49.0605555556,526,283.7053369544,733.1164691228,789,1066,700,702,702,702,702,675.2,675,675.2,673.5,667.7,22,5.266666666600003,112.89999999999999,160.2666666666
3506102,-20.9494444444,48.4791666667,573,344.7705031981,575.1562368644,633,682,721,723,723,723,723,684.4,684,684.4,682.5,683.3,22.3833333333,4.300000000000001,124.725,211.68333333340001
3506201,-21.2705555556,50.8119444444,431,498.4532317257,679.7102367295,NA,NA,297,298,289,289,289,302.7,302,302.7,301.9,301.4,23.35,5.4333333334,110.10000000000001,153.2666666666
3506300,-23.0130555556,49.4741666667,695,296.3437401513,816.989780856,NA,301,254,255,255,255,255,244.6,244,244.6,244,244.2,20.799999999999997,5.8666666666000005,117.39999999999999,139.2666666666
3506359,-23.8544444444,46.1386111111,8,61.0758469832,913.3873227211,NA,NA,NA,NA,NA,NA,NA,NA,492,492.4,491.2,490,19.9666666667,5.799999999999997,265.1833333333,226.9
3506409,-21.4033333333,50.4705555556,431,460.5608579261,677.7865430899,NA,NA,527,168,168,168,168,157.7,157,157.7,157.3,157.9,22.950000000000003,5.233333333400001,112.85,164.43333333340001
3506508,-21.2886111111,50.34,406,456.0754196659,660.7452378008,NA,1284,535,537,537,537,537,532.1,532,532.1,530.6,530.9,23.049999999999997,5.1333333333999995,112.56666666665001,169.1666666667
3506607,-23.5725,46.0386111111,780,61.0669452367,885.1760378716,NA,NA,NA,NA,380,380,380,317.5,317,317.5,316.8,317.2,18.65,5.833333333400002,208.9333333333,199.8
3506706,-21.9925,48.3908333333,490,249.2588258598,689.421497356,982,697,734,736,736,736,736,756.3,756,670.3,668.5,690.8,22.05833333335,4.883333333300001,122.7,192.4
3506805,-22.1361111111,48.5180555556,580,248.4886066005,706.3327197584,299,224,371,372,387,387,387,365,365,365,364,363.9,21.95,4.966666666599998,119.1,182.93333333340001
3506904,-23.1022222222,48.2577777778,576,173.0396669603,811.3260546408,835,657,654,656,656,656,656,654.9,654,654.9,653.3,653.5,20.3833333333,5.599999999999998,115.075,154.7833333334
3507001,-23.2833333333,47.6722222222,637,109.868345518,831.0910161709,NA,276,298,299,248,248,248,249.6,249,249.6,249,249,20.083333333299997,5.699999999999999,108.51666666669999,148.5
3507100,-23.135,46.4652777778,770,48.9112885545,828.6179287654,NA,NA,NA,94,94,94,94,108.8,108,108.8,108.5,107.6,18.45,5.833333333399999,130.71666666664999,187.5666666667
3507159,-24.3177777778,49.1438888889,950,269.1914106652,953.7166102081,NA,NA,NA,NA,NA,NA,NA,NA,133,133.5,133.2,133.6,17.799999999999997,6.266666666599999,125.76666666665,117.86666666669998
3507209,-22.2697222222,50.5344444444,582,424.2475488682,768.9639416185,NA,NA,NA,NA,114,114,114,119,119,119,118.7,118.5,21.8833333333,5.699999999999999,112.51666666665,142.63333333330002
3507308,-22.1930555556,48.7788888889,480,266.1873304831,715.5246362165,NA,NA,NA,120,120,120,120,121.1,121,121.1,120.8,122.1,22.116666666649998,5.166666666699999,114.65,170.7
3507407,-21.6197222222,49.0736111111,429,329.2562251489,657.5955584534,NA,491,510,511,511,511,511,554.1,554,554.1,552.6,552.3,22.75,4.833333333399999,117.35000000000001,180.7666666666
3507456,-22.5694444444,48.9711111111,590,262.6698070031,759.5346096777,NA,NA,NA,NA,NA,NA,NA,NA,349,349,348.1,348,21.3,5.333333333399999,119.56666666665,164.0666666667
3507506,-22.8858333333,48.445,804,199.1352803131,788.4922888494,2190,1828,1718,1522,1522,1522,1522,1486.4,1486,1486.4,1482.8,1482.6,20.27916666665,5.3083333332999985,123.3375,166.80833333340001
3507605,-22.9519444444,46.5419444444,817,66.6577254272,807.2293203576,870,1079,1059,1062,770,770,770,784.6,514,514.8,513.6,512.6,18.73333333335,5.733333333300001,132.5,189.39999999999998
3507704,-21.4991666667,50.3155555556,401,441.3103366414,681.3032334198,NA,NA,NA,199,199,199,199,196.1,196,196.1,195.5,195.3,22.8833333333,5.300000000000001,114.63333333329999,168
