;coef;value
913;contrabando;-0,0
914;contrafortes;-0,02501688845953614
915;contrapartida;-0,0
916;contrato;0,14309742958414565
917;contribuição;-0,0
918;controle;0,04906150524950456
919;controvérsia;0,0
920;controvérsias;0,08815580787871329
921;contrução;-0,0
922;contrário;-0,0
923;conveniência;0,10375210803294299
924;convento;0,01576208292143642
925;convergência;0,0
926;conversa;-0,09166708541481161
927;convidados;0,0
928;convite;-0,04353894285865399
929;convivência;-0,0
930;convênio;0,0
931;convívio;-0,0
932;cooperativa;0,036446571200555035
933;cooperativas;0,0
934;cooperação;0,0
935;coordenação;0,07269095145378496
936;copa;0,037008783556938894
937;coqueiro;0,0
938;coqueiros;0,04260065791602959
939;cor;-0,03302524708273691
940;coragem;0,0
941;corais;0,0
942;coral;0,0
943;coração;0,0
944;corações;-0,0
945;corda;-0,08181904266810405
946;cordas;0,04101297122478783
947;cordilheira;-0,0
948;cordão;-0,040561194853448494
949;cores;0,04196459260091528
950;coroa;0,10056636887549983
951;coroas;0,0722388056219168
952;coronel;-0,2433778932297288
953;coronéis;-0,0
954;corpo;-0,0
955;corpos;0,06634600739941617
956;corredeira;0,012296935982222295
957;corredeiras;0,0
958;corredor;0,0
959;correio;-0,0
960;correios;-0,0
961;corrente;0,19024578738570094
962;correntes;0,0
963;correnteza;-0,0
964;correspondência;0,06115353344117265
965;correspondências;0,0
966;corretor;0,0
967;corretores;0,0
968;correção;0,0
969;corrida;0,012359781470162989
970;corridas;-0,0
971;corruptela;-0,00037951572714124807
972;corrutela;0,004799910828661157
973;corsários;-0,05941026543316505
974;corte;0,06602520761707172
975;cortes;-0,0
976;costa;0,22988716609712598
977;costas;-0,008442474786647643
978;costume;-0,0
979;costumes;0,3508095010506354
980;cota;-0,00838416248001053
981;cotidiano;-0,0
982;couro;0,028949536122766878
983;couros;-0,0
984;cova;0,0
985;coxilhas;0,1557367443304999
986;crença;0,0
987;crenças;-0,0
988;crescimento;0,02906152017662944
989;criador;0,0
990;criadores;-0,09794170434076556
991;criança;-0,0
992;crianças;0,0
993;criatório;-0,11129982940612534
994;criação;-0,0
995;criações;-0,0
996;crime;-0,0
997;criminosos;-0,0
998;crise;0,17701803281408862
999;crises;0,13657242673315398
1000;cristais;-0,0
1001;cristal;-0,0
1002;cronistas;-0,0
1003;cruz;0,23552906087365047
1004;cruzamento;0,08939998232736061
1005;cruzeiro;0,13682743552960713
1006;cruzeiros;-0,0
1007;crédito;-0,0
1008;crônica;-0,10636075055097506
1009;crônicas;-0,0
1010;ctg;0,10069216448803048
1011;cuidado;0,0
1012;cuidados;-0,0
1013;culinária;0,0
1014;cultivo;0,0
1015;cultivos;-0,0
1016;culto;0,0
1017;cultos;-0,10866127434613226
1018;cultura;0,0003746098938454495
1019;culturas;-0,04392989944954648
1020;cumprimento;-0,02839346082227133
1021;cunhado;-0,06853436442495339
1022;cunho;0,012177875176724839
1023;cura;0,05391772763850516
1024;curandeiro;-0,0
1025;curato;0,09514931130259333
1026;curiosidade;-0,0
1027;curitibano;0,030901904655569336
1028;currais;-0,05421370820138345
1029;curral;-0,2050151746801355
1030;curso;-0,0
1031;cursos;0,0
1032;curtume;0,0
1033;curva;-0,0
1034;curvas;0,0
1035;custo;-0,0
1036;custos;-0,0
1037;câmara;-0,21517095681224768
1038;cães;0,0
1039;célula;-0,0
1040;céu;0,04749155815591534
1041;código;-0,0
1042;cólera;-0,27578719057205886
